Date of Week End,Candidate,Platform,Spend
3/23/2019,Kamala Harris,Google,25300
3/23/2019,Cory Booker,Facebook,19571
3/23/2019,Jay Inslee,Google,18700
3/23/2019,Amy Klobuchar,Google,17600
3/23/2019,Kirsten Gillibrand,Google,14500
3/23/2019,Jay Inslee,Facebook,13750
3/23/2019,John Hickenlooper,Facebook,10838
3/23/2019,Tulsi Gabbard,Google,9600
3/23/2019,John Delaney,Google,9400
3/23/2019,Cory Booker,Google,8700
3/23/2019,Bernie Sanders,Google,7800
3/23/2019,Marianne Williamson,Facebook,6775
3/23/2019,John Hickenlooper,Google,6600
3/23/2019,Pete Buttigieg,Facebook,1722
3/23/2019,Julián Castro,Facebook,1406
3/23/2019,Tulsi Gabbard,Facebook,800
3/23/2019,Andrew Yang,Google,100
3/30/2019,Amy Klobuchar,Facebook,256955
3/30/2019,Kamala Harris,Facebook,135806
3/30/2019,Donald Trump,Facebook,114423
3/30/2019,Bernie Sanders,Facebook,102202
3/30/2019,Donald Trump,Google,95000
3/30/2019,Elizabeth Warren,Facebook,80304
3/30/2019,Beto O'Rourke,Facebook,76402
3/30/2019,Andrew Yang,Facebook,65881
3/30/2019,Julián Castro,Facebook,36132
3/30/2019,Beto O'Rourke,Google,34000
3/30/2019,Cory Booker,Facebook,31590
3/30/2019,Marianne Williamson,Facebook,28809
3/30/2019,Kirsten Gillibrand,Facebook,26125
3/30/2019,John Delaney,Facebook,24735
3/30/2019,Jay Inslee,Facebook,23010
3/30/2019,Kirsten Gillibrand,Google,20000
3/30/2019,Elizabeth Warren,Google,19000
3/30/2019,Jay Inslee,Google,18800
3/30/2019,Kamala Harris,Google,18500
3/30/2019,Cory Booker,Google,15100
3/30/2019,John Hickenlooper,Facebook,14283
3/30/2019,Amy Klobuchar,Google,11000
3/30/2019,Tulsi Gabbard,Google,10500
3/30/2019,Pete Buttigieg,Google,6900
3/30/2019,John Hickenlooper,Google,5700
3/30/2019,Pete Buttigieg,Facebook,4964
3/30/2019,John Delaney,Google,4800
3/30/2019,Julián Castro,Google,2800
3/30/2019,Wayne Messam,Facebook,2800
3/30/2019,Bernie Sanders,Google,2200
3/30/2019,Wayne Messam,Google,2000
3/30/2019,Andrew Yang,Google,200
4/6/2019,Andrew Yang,Facebook,156854
4/6/2019,Amy Klobuchar,Facebook,126931
4/6/2019,Donald Trump,Facebook,84833
4/6/2019,Julián Castro,Facebook,75690
4/6/2019,Kamala Harris,Facebook,75602
4/6/2019,Elizabeth Warren,Facebook,63408
4/6/2019,Beto O'Rourke,Facebook,61073
4/6/2019,Bernie Sanders,Facebook,48385
4/6/2019,Marianne Williamson,Facebook,44245
4/6/2019,Donald Trump,Google,43300
4/6/2019,Jay Inslee,Facebook,27983
4/6/2019,Cory Booker,Facebook,25963
4/6/2019,Pete Buttigieg,Google,25400
